$oid,SPI          ,identifiant,password,nomDeNaissance,prenom   ,secondPrenom,titre,Gender,email,telephone,birthdate,AAAA,MM,JJ,departementDeNaissance,codeCommune,regionDeNaissance,codePaysDeNaissance,adresseFormatee,RFR  ,nombreDeParts,situationDeFamille,nombreDePersonnesACharge,nombreDEnfantsACharge,enfantsAChargeEnGardeAlternee,personnesInvalidesACharge,enfantsMajeursCelibataires,enfantsMajeursMariesOuChargeDeFamille,nbPacP,nomDeNaissanceDuDeclarant1,nomDUsageDuDeclarant1,prenomsDuDeclarant1,nomDeNaissanceDuDeclarant2,nomDUsageDuDeclarant2,prenomsDuDeclarant2,parentIsole,adresseFiscaleDeTaxation,createdAt,updatedAt
5b3e1280c1eb6856db7362c5,3999999898230,vincent_empty,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c6,3999999899231,barnard_not_string_family_name,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,15,BARNARD,,M,male,quinze_barbard@gmail.com,123456789,1964-10-23,1964,10,23,48,95,95277,99100,99 RUE DE SÈVRES 75006 PARIS ,17828,3,C                 ,1,1,null                         ,null,null,null,0,15,15,BARNARD,null                      ,null                 ,null               ,null       ,99 RUE DE SÈVRES 75006 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c8,3999999900232,francois_not_string_birthdate,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SEIZE,FRANCOIS GERARD,GERARD,M,male,seize_francois@gmail.com,123456789,1950-01-06,1950,1,6,48,92,95277,99100,10 PLACE CONSTANTIN BRANCUSI 75014 PARIS ,15000,3,D,0,0,0,0,0,0,0,SEIZE,SEIZE,FRANCOIS,null                      ,null                 ,null               ,null       ,10 PLACE CONSTANTIN BRANCUSI 75014 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c9,3999999901233,nina_not_string_gender,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DIXSEPT,NINA JOSIANE,JOSIANE,MME  ,2,dixsept_nina@gmail.com,123456789,1970-08-16,1970,8,16,25,56,95277,99100,Appartement A56 5 PLACE BERTONE 69004 LYON,,,,,,,,,,,,,,,,,,,,
5b3e1280c1eb6856db7362ca,3999999901234,jean_not_string_email,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DIXHUIT,JEAN ERIC,ERIC,M,male,12345678,123456789,1992-04-23,1992,4,23,47,8,95277,99100,120 BOULEVARD FRANÇOIS ROBERT 13016 MARSEILLE,17827,2.75         ,M                 ,1,1,null                         ,null,null,null,0,DIXHUIT,DIXHUIT,JEAN,DIXHUITBIS,DIXHUIT,ANNA,null       ,Appartement 13 5 BOULEVARD BEAU SOLEIL 13015 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362cb,3999999901235,beatrice_not_object_address,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DIXNEUF,BEATRICE SANDRINE,SANDRINE,MME  ,female,dixneuf_beatrice@gmail.com,123456789,1968-05-22,1968,5,22,54,9,95277,99100,Appartement 13 5 BOULEVARD BEAU SOLEIL 13015 MARSEILLE,,,,,,,,,,,,,,,,,,,,
5b3e1280c1eb6856db7362cc,3999999901236,grabrielle_not_string_phone,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGT,GABRIELLE JANINE SABINE,JANINE SABINE,MME  ,female,vingt_gabrielle@gmail.com,@ !!!!!!!!!!,1980-01-30,1980,1,30,37,58,95277,99100,17 AVENUE DU MERLAN 13014 MARSEILLE ,15253,2.5,D,3,2,1,null,null,null,0,VINGT,VINGT,,,,,T,17 AVENUE DU MERLAN 13014 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362cd,3999999901237,dahli_not_string_birthcountry,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTUN,DAHLI SIERRA,SIERRA,MME  ,female,vingtun_dahli@gmail.com,123456789,1989-11-09,1989,11,9,51,32,95277,@ !!!!!!!!!!,14 RUE NATIONALE 13001 MARSEILLE ,11347,3,V,5,5,null                         ,null,null,null,0,VINGTUN,VINGTUN,DAHLI,null                      ,null                 ,null               ,null       ,14 RUE NATIONALE 13001 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362cf,3999999901238,marie_no_fd_dgfip,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTDEUX,MARIE YVETTE,YVETTE,MME  ,female,vingtdeux_marie@gmail,123456789,1984-02-15,1984,2,15,46,42,95277,99100,42 RUE ABBÉ DE L'ÉPÉE 13005 MARSEILLE ,,,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362d0,3999999901239,david_stranger_no_fd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTTROIS,DAVID CLEMENT,CLEMENT,M,male,vingttrois_david@gmail.com,123456789,1976-09-12,1976,9,12,,,,99350,100 BOULEVARD BAILLE 13005 MARSEILLE ,,,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362d1,3999999901240,fella_stranger_no_birthplace_no_fd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTQUATRE,FELLA BAILEY,BAILEY,M,male,vingtquatre_fella@mail.com,123456789,1960-03-04,1960,3,4,,,,99350,57 RUE DU TEMPLE 75004 PARIS ,,,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362d2,3999999901241,emmry_stranger_presume_jour,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTCINQ,EMMRY,,M,male,vingtcinq_emmry@mail.com,123456789,1949-09-00,1949,9,0,,,,99134,99 RUE DE SÈVRES 75006 PARIS ,,,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362d3,3999999901242,hugo_stranger_presume_mois_jour,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTSIX,HUGO,,M,male,vingtsix_hugo@mail.com,123456789,1954-00-00,1954,0,0,,,,99350,,,,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1c102833de26e816b687,3999999901243,nadia_empty_but_email_and_given_name,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTSEPT,NADIA,, ,,vingtsept_nadia@mail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b4c9f1296a8137e380fcf00,3999999901244,frederique_stranger_null_birthplace_no_fd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTHUIT,FREDERIQUE,,MME  ,female,vingthuit_frederique@mail.com,123456789,1994-08-03,1994,8,3,,,,,,,,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
